High,Low,Open,Close,Volume,Adj Close
172.3000030517578,169.25999450683594,170.16000366210938,172.25999450683594,25555900.0,167.70188903808594
174.5500030517578,171.9600067138672,172.52999877929688,172.22999572753906,29517900.0,167.67266845703125
173.47000122070312,172.0800018310547,172.5399932861328,173.02999877929688,22434600.0,168.45150756835938
175.3699951171875,173.0500030517578,173.44000244140625,175.0,23660000.0,170.369384765625
175.61000061035156,173.92999267578125,174.35000610351562,174.35000610351562,20567800.0,169.73658752441406
175.05999755859375,173.41000366210938,174.5500030517578,174.3300018310547,21584000.0,169.7171173095703
174.3000030517578,173.0,173.16000366210938,174.2899932861328,23959900.0,169.67816162109375
175.49000549316406,174.49000549316406,174.58999633789062,175.27999877929688,18667700.0,170.6419677734375
177.36000061035156,175.64999389648438,176.17999267578125,177.08999633789062,25418100.0,172.4040985107422
179.38999938964844,176.13999938964844,177.89999389648438,176.19000244140625,29565900.0,171.52789306640625
179.25,175.07000732421875,176.14999389648438,179.10000610351562,34386800.0,174.3608856201172
180.10000610351562,178.25,179.3699951171875,179.25999450683594,31193400.0,174.51663208007812
179.5800018310547,177.41000366210938,178.61000061035156,178.4600067138672,32425100.0,173.7378387451172
177.77999877929688,176.60000610351562,177.3000030517578,177.0,27108600.0,172.3164520263672
179.44000244140625,176.82000732421875,177.3000030517578,177.0399932861328,32689100.0,172.3553924560547
177.3000030517578,173.1999969482422,177.25,174.22000122070312,51105100.0,169.61001586914062
174.9499969482422,170.52999877929688,174.50999450683594,171.11000061035156,41529000.0,166.5823211669922
172.0,170.05999755859375,172.0,171.50999450683594,39143000.0,166.9717254638672
170.16000366210938,167.07000732421875,170.16000366210938,167.9600067138672,50640400.0,163.5156707763672
167.3699951171875,164.6999969482422,165.52999877929688,166.97000122070312,46048200.0,162.55186462402344
168.44000244140625,166.5,166.8699951171875,167.42999267578125,32478900.0,162.99969482421875
168.6199951171875,166.75999450683594,167.1699981689453,167.77999877929688,47230800.0,163.34042358398438
166.8000030517578,160.10000610351562,166.0,160.5,86593800.0,156.25306701660156
163.8800048828125,156.0,159.10000610351562,156.49000549316406,72738500.0,152.3491668701172
163.72000122070312,154.0,154.8300018310547,163.02999877929688,68243800.0,158.7161102294922
163.39999389648438,159.07000732421875,163.08999633789062,159.5399932861328,51608600.0,155.3184356689453
161.0,155.02999877929688,160.2899932861328,155.14999389648438,54390500.0,151.0446319580078
157.88999938964844,150.24000549316406,157.07000732421875,156.41000366210938,70672600.0,152.89210510253906
163.88999938964844,157.50999450683594,158.5,162.7100067138672,60819500.0,159.0504150390625
164.75,161.64999389648438,161.9499969482422,164.33999633789062,32549200.0,160.64378356933594
167.5399932861328,162.8800048828125,163.0399932861328,167.3699951171875,40644900.0,163.6055908203125
173.08999633789062,169.0,169.7899932861328,172.99000549316406,51147200.0,169.09921264648438
174.82000732421875,171.77000427246094,172.36000061035156,172.42999267578125,40176100.0,168.5518035888672
174.25999450683594,171.4199981689453,172.0500030517578,171.85000610351562,33930500.0,167.98484802246094
174.1199951171875,171.00999450683594,172.8300018310547,171.07000732421875,37471600.0,167.222412109375
173.9499969482422,171.7100067138672,171.8000030517578,172.5,30991900.0,168.62022399902344
175.64999389648438,173.5399932861328,173.6699981689453,175.5,33812400.0,171.552734375
179.38999938964844,176.2100067138672,176.35000610351562,178.97000122070312,38162200.0,174.9447021484375
180.47999572753906,178.16000366210938,179.10000610351562,178.38999938964844,38928100.0,174.37774658203125
180.6199951171875,178.0500030517578,179.25999450683594,178.1199951171875,37782100.0,174.11383056640625
179.77999877929688,172.66000366210938,178.5399932861328,175.0,48802000.0,171.06399536132812
176.3000030517578,172.4499969482422,172.8000030517578,176.2100067138672,38454000.0,172.2467803955078
177.74000549316406,174.52000427246094,175.2100067138672,176.82000732421875,28401400.0,172.84307861328125
178.25,176.1300048828125,177.91000366210938,176.6699981689453,23788500.0,172.69644165039062
175.85000610351562,174.27000427246094,174.94000244140625,175.02999877929688,31703500.0,171.0933380126953
177.1199951171875,175.07000732421875,175.47999572753906,176.94000244140625,23774100.0,172.9603729248047
180.0,177.38999938964844,177.9600067138672,179.97999572753906,32185200.0,175.93199157714844
